site,species,grid,habitat,year,period,density,se,comment
Goose camp,collared,LG1,wet,2014,P2,0.047,0.066,
Goose camp,collared,LG1,wet,2014,P3,0.6,0.517,
Goose camp,collared,LG1,wet,2015,P1,0.184,0,
Goose camp,collared,LG1,wet,2015,P2,0.275,0,
Goose camp,collared,LG1,wet,2015,P3,0.092,0,
Goose camp,collared,LG1,wet,2016,P1,1.84,1.253,"Les densités à la 1ère période en 2016 sont probablement sous-estimées à cause d’un enneigement exceptionnellement élevé au moment du trappage vivant cette année-là, ce qui a vraisemblablement diminuée la taille effective de la grille de trappage. "
Goose camp,collared,LG1,wet,2016,P2,0.609,0.551,
Goose camp,collared,LG1,wet,2016,P3,1.1,0.81,
Goose camp,collared,LG1,wet,2017,P1,0.148,0,
Goose camp,collared,LG1,wet,2017,P2,0.074,0,
Goose camp,collared,LG1,wet,2017,P3,0,0,
Goose camp,collared,LG1,wet,2018,P1,0,0,
Goose camp,collared,LG1,wet,2018,P2,0,0,
Goose camp,collared,LG1,wet,2018,P3,0,0,
Goose camp,collared,LG1,wet,2019,P1,0.148,0,calculé avec moyenne des ESA des dernières années
Goose camp,collared,LG1,wet,2019,P2,0.148,0,
Goose camp,collared,LG1,wet,2019,P3,0.148,0,
Goose camp,collared,LX,mesic,2007,P4,0,0,
Goose camp,collared,LX,mesic,2008,P1,0.267,0,
Goose camp,collared,LX,mesic,2008,P2,0,0,
Goose camp,collared,LX,mesic,2008,P3,0,0,
Goose camp,collared,LX,mesic,2009,P1,0,0,
Goose camp,collared,LX,mesic,2009,P2,0,0,
Goose camp,collared,LX,mesic,2009,P3,0,0,
Goose camp,collared,LX,mesic,2010,P1,0.185,0,"Les densités à la 1ère période en 2010 sont probablement sous-estimées à cause d’un enneigement exceptionnellement élevé au moment du trappage vivant cette année-là, ce qui a vraisemblablement diminuée la taille effective de la grille de trappage. "
Goose camp,collared,LX,mesic,2010,P2,0.274,0,
Goose camp,collared,LX,mesic,2010,P3,0.137,0,
Goose camp,collared,LX,mesic,2011,P1,0.137,0,
Goose camp,collared,LX,mesic,2011,P2,0,0,
Goose camp,collared,LX,mesic,2011,P3,0,0,
Goose camp,collared,LX,mesic,2012,P1,0,0,
Goose camp,collared,LX,mesic,2012,P2,0,0,
Goose camp,collared,LX,mesic,2012,P3,0,0,
Goose camp,collared,LX,mesic,2013,P1,0,0,
Goose camp,collared,LX,mesic,2013,P2,0,0,
Goose camp,collared,LX,mesic,2013,P3,0,0,
Goose camp,collared,LX,mesic,2014,P1,0.433,0,
Goose camp,collared,LX,mesic,2014,P2,0.144,0,
Goose camp,collared,LX,mesic,2014,P3,0,0,
Goose camp,collared,LX,mesic,2015,P1,0,0,
Goose camp,collared,LX,mesic,2015,P2,0,0,
Goose camp,collared,LX,mesic,2015,P3,0,0,
Goose camp,collared,LX,mesic,2016,P1,0.289,0,"Les densités à la 1ère période en 2016 sont probablement sous-estimées à cause d’un enneigement exceptionnellement élevé au moment du trappage vivant cette année-là, ce qui a vraisemblablement diminuée la taille effective de la grille de trappage. "
Goose camp,collared,LX,mesic,2016,P2,0.144,0,
Goose camp,collared,LX,mesic,2016,P3,0.433,0,
Goose camp,collared,LX,mesic,2017,P1,0,0,
Goose camp,collared,LX,mesic,2017,P2,0,0,
Goose camp,collared,LX,mesic,2017,P3,0.091,0,
Goose camp,collared,LX,mesic,2018,P1,0,0,
Goose camp,collared,LX,mesic,2018,P2,0,0,
Goose camp,collared,LX,mesic,2018,P3,0,0,
Goose camp,collared,LX,mesic,2019,P1,0,0,
Goose camp,collared,LX,mesic,2019,P2,0.144,0,ESA = taille de la grille en ha 
Goose camp,collared,LX,mesic,2019,P3,0,0,
Camp 2,brown,LG4,mesic/wet,2015,P2,0.686,0,
Camp 2,collared,LG4,mesic/wet,2015,P2,0.274,0,
Camp 3,brown,LG5,mesic/wet,2015,P2,0,0,
Camp 3,collared,LG5,mesic/wet,2015,P2,0.137,0,
Dufour point,brown,LG6,mesic/wet,2015,P2,0,0,
Dufour point,collared,LG6,mesic/wet,2015,P2,0.444,0,
Camp 2,brown,LG4,mesic/wet,2016,P2,1.92,0,
Camp 2,collared,LG4,mesic/wet,2016,P2,0.137,0,
Camp 3,brown,LG5,mesic/wet,2016,P2,0,0,
Camp 3,collared,LG5,mesic/wet,2016,P2,0,0,
Dufour point,brown,LG6,mesic/wet,2016,P2,0,0,
Dufour point,collared,LG6,mesic/wet,2016,P2,0.444444444,0,
Camp 2,brown,LG4,mesic/wet,2017,P2,0,0,
Camp 2,collared,LG4,mesic/wet,2017,P2,0,0,
Camp 3,brown,LG5,mesic/wet,2017,P2,0,0,
Camp 3,collared,LG5,mesic/wet,2017,P2,0,0,
Dufour point,brown,LG6,mesic/wet,2017,P2,0,0,
Dufour point,collared,LG6,mesic/wet,2017,P2,0,0,
Camp 2,brown,LG4,mesic/wet,2018,P2,0,0,
Camp 2,collared,LG4,mesic/wet,2018,P2,0,0,
Camp 3,brown,LG5,mesic/wet,2018,P2,0,0,
Camp 3,collared,LG5,mesic/wet,2018,P2,0,0,
Dufour point,brown,LG6,mesic/wet,2018,P2,0,0,
Dufour point,collared,LG6,mesic/wet,2018,P2,0.148,0,
Camp 2,brown,LG4,mesic/wet,2019,P2,2.039,1.1055,Calculé à l'aide du modèle constant (pas model averaging)
Camp 2,collared,LG4,mesic/wet,2019,P2,0,0,
Camp 3,brown,LG5,mesic/wet,2019,P2,0,0,
Camp 3,collared,LG5,mesic/wet,2019,P2,0.6785,0.3988,Calculé à l'aide du modèle constant (pas model averaging)
Dufour point,brown,LG6,mesic/wet,2019,P2,0,0,
Dufour point,collared,LG6,mesic/wet,2019,P2,0,0,
